# Each line has information on a detected BGP prefix hijacking
# Format: Comma-separated columns
# Column 1: AS responsible for the hijacking
# Column 2: AS victim of the hijacking
# Column 3: Hijacking start date and time
# Column 4: Hijacking end date and time
# Missing end time indicates that the hijack has persisted
53667,9498,04/10/18 10:56,04/10/18 14:25
53667,9498,04/10/18 10:56,04/10/18 14:25
133541,6453,04/05/18 23:17,18/05/18 01:07
2516,9498,04/10/18 10:56,04/10/18 14:25
36352,9498,04/10/18 10:56,04/10/18 14:25
36352,9498,04/10/18 10:56,04/10/18 14:25
20860,9498,04/10/18 10:56,04/10/18 14:25
43350,9498,04/10/18 10:56,04/10/18 14:25
56067,9498,04/10/18 10:56,04/10/18 14:25
136620,9498,04/10/18 09:29,04/10/18 14:25
136620,9498,04/10/18 09:29,04/10/18 14:25
38001,9498,04/10/18 09:29,04/10/18 14:25
24669,9498,04/10/18 09:29,04/10/18 14:09
132335,133296,04/10/18 09:15,18/10/18 05:58
37963,4761,03/10/18 13:14,10/10/18 11:42
23693,17813,03/10/18 12:00,17/10/18 05:24
131284,6453,03/10/18 11:35,04/10/18 11:01
50057,41689,03/10/18 08:30,08/10/18 17:32
7377,9449,02/10/18 23:01,06/10/18 18:49
327933,37027,02/10/18 17:24,16/10/18 15:26
266390,3356,02/10/18 17:13,04/10/18 18:52
266390,3356,02/10/18 17:13,04/10/18 18:52
138145,200,02/10/18 17:04,02/10/18 17:14
138145,200,02/10/18 17:04,02/10/18 17:14
138145,131613,02/10/18 17:02,02/10/18 17:04
138145,131613,02/10/18 17:02,02/10/18 17:04
29073,49335,02/10/18 16:56,16/10/18 02:35
132599,38733,02/10/18 10:53,02/10/18 11:01
203459,2299,01/10/18 10:55,01/10/18 15:04
134015,6453,01/10/18 02:02,01/10/18 02:05
28876,2764,30/09/18 20:41,02/10/18 21:24
35916,45650,30/09/18 17:31,14/10/18 10:54
56634,203597,30/09/18 16:01,10/10/18 14:56
137252,65555,30/09/18 09:49,30/09/18 10:19
137252,65555,30/09/18 09:49,30/09/18 10:19
3,65555,30/09/18 08:25,30/09/18 12:04
61808,3356,30/09/18 01:29,30/09/18 03:03
4668,28191,05/05/18 23:17,05/05/18 23:18
52649,3549,29/09/18 14:31,29/09/18 15:06
52649,3356,29/09/18 14:31,29/09/18 15:04
202926,198949,29/09/18 00:31,29/09/18 00:57
55836,49336,28/09/18 21:34,28/09/18 21:37
61053,12578,28/09/18 20:00,28/09/18 20:01
3,135207,28/09/18 18:55,30/09/18 01:24
3,135207,28/09/18 18:55,30/09/18 01:24
22407,262589,28/09/18 15:43,28/09/18 15:43
22407,262589,28/09/18 15:43,28/09/18 15:43
37429,327879,28/09/18 14:28,28/09/18 14:31
37429,327879,28/09/18 14:28,28/09/18 14:31
132082,82503,28/09/18 13:51,28/09/18 13:53
174,42962,06/05/18 10:16,06/05/18 10:16
26110,20161,28/09/18 01:12,10/10/18 13:13
10310,8151,28/09/18 00:08,11/10/18 12:27
264957,28640,27/09/18 23:27,28/09/18 00:24
3549,265950,27/09/18 19:41,08/10/18 23:19
